match_id,radiant_win,duration,avg_mmr,game_mode,start_time
6880925617,True,1789,,22,1669213179
6880925419,False,2051,,4,1669213177
6880925418,True,1753,3505.0,22,1669213174
6880925417,True,1176,,22,1669213174
6880925414,True,1997,3311.0,22,1669213161
6880925403,True,1890,757.0,22,1669213180
6880925313,False,1983,3497.0,3,1669213160
6880925307,True,1914,1441.0,22,1669213150
6880925100,True,1869,3982.0,22,1669213163
6880924914,True,2021,4160.0,4,1669213163
6880924612,True,1805,3891.0,3,1669213148
6880924509,True,1841,633.0,22,1669213144
6880924507,False,1939,,22,1669213120
6880924409,True,1804,3376.0,22,1669213150
6880924403,True,1844,3800.0,22,1669213148
6880924319,True,1744,,4,1669213145
6880924314,True,1027,4689.0,22,1669213137
6880924214,True,1815,3153.0,22,1669213139
6880924213,False,1958,,22,1669213138
6880924102,False,1973,3282.0,22,1669213143
6880923917,True,1821,,22,1669213132
6880961402,True,553,2573.0,22,1669214285
6880960112,True,940,,22,1669214245
6880958106,True,1078,2833.0,22,1669214180
6880955508,True,786,5890.0,22,1669214102
6880954810,False,1184,,22,1669214079
6880953401,True,1348,3137.0,22,1669214020
6880953201,False,660,3944.0,22,1669214030
6880952511,True,665,3262.0,22,1669213996
6880951619,True,936,,22,1669213981
6880950609,True,1322,1834.0,22,1669213952
6880950413,True,1318,1842.0,22,1669213936
6880950305,False,1121,805.0,22,1669213941
6880949605,True,1421,4373.0,22,1669213916
6880949502,True,960,,22,1669213914
6880948102,True,1373,3212.0,22,1669213874
6880947619,True,1306,2725.0,22,1669213855
6880947610,True,1327,959.0,4,1669213851
6880947513,True,1357,1948.0,22,1669213854
6880945518,False,1551,3180.0,22,1669213776
6880944710,True,966,,22,1669213765
6880944500,True,1275,,22,1669213759
6880944202,True,1490,,4,1669213750
6880943106,True,1249,3167.0,22,1669213719
6880942906,False,1146,3810.0,22,1669213716
6880942903,True,1115,1803.0,22,1669213715
6880942716,True,1678,,22,1669213710
6880942307,False,1599,3495.0,22,1669213689
6880941504,True,1714,2981.0,22,1669213670
6880940815,False,1210,2729.0,22,1669213649
6880940811,False,1501,,22,1669213645
6880940415,False,1633,2784.0,4,1669213620
6880939412,False,1242,3682.0,22,1669213604
6880939218,False,1696,,22,1669213590
6880939000,True,1748,3334.0,4,1669213594
6880938910,True,560,3677.0,22,1669213588
6880938901,True,1687,,22,1669213589
6880938806,False,1183,3082.0,22,1669213584
6880938700,False,1611,1389.0,22,1669213568
6880938516,False,1402,,22,1669213573
6880938414,False,1355,,4,1669213555
6880938015,False,1742,4226.0,22,1669213549
6880937711,True,1725,,22,1669213556
6880937618,True,1754,2239.0,22,1669213551
6880937414,True,1714,,22,1669213544
6880937412,True,1360,,22,1669213544
6880937401,True,1780,,22,1669213506
6880937315,False,1365,,22,1669213536
6880936906,False,1642,3462.0,22,1669213524
6880936609,True,1886,,5,1669213519
6880936605,True,947,4031.0,3,1669213519
6880936511,True,1636,3746.0,22,1669213505
6880936402,False,1846,1183.0,22,1669213514
6880936017,False,1685,,22,1669213499
6880936009,True,1718,,4,1669213479
6880935900,True,1604,3010.0,22,1669213499
6880935419,False,1611,,22,1669213485
6880935311,True,1803,3937.0,22,1669213475
6880935117,False,687,5223.0,22,1669213461
6880935000,False,1517,,22,1669213471
6880934913,True,1890,1963.0,22,1669213460
6880934717,True,1906,3179.0,22,1669213463
6880934716,False,1796,3339.0,22,1669213463
6880934313,False,1919,3807.0,3,1669213448
6880934304,True,1732,3281.0,22,1669213431
6880934215,False,710,,4,1669213448
6880934202,False,1859,4143.0,4,1669213421
6880933811,True,769,,22,1669213429
6880933519,True,1650,3294.0,22,1669213418
6880933500,True,1664,3341.0,22,1669213426
6880933408,True,1653,,22,1669213423
6880933404,False,1921,,22,1669213420
6880933316,False,1371,3131.0,3,1669213421
6880933308,False,817,,22,1669213419
6880933214,False,1875,3543.0,22,1669213418
6880933205,True,1823,3191.0,22,1669213404
6880933001,False,1975,,22,1669213411
6880932916,False,1946,3918.0,22,1669213383
6880932812,False,1424,,4,1669213399
6880932806,False,744,,22,1669213401
6880932712,True,1874,,22,1669213400
6880932704,False,1380,,22,1669213394
6880932702,True,1350,3270.0,22,1669213390
6880932601,False,1881,1524.0,4,1669213368
6880932415,True,1964,,22,1669213393
6880932403,False,1606,,22,1669213385
6880932307,False,1813,,22,1669213388
6880932304,False,1790,3635.0,22,1669213384
6880932219,False,1886,4503.0,22,1669213384
6880932213,True,1800,3466.0,22,1669213374
6880932211,True,1683,,22,1669213373
6880931806,True,1658,,22,1669213373
6880931508,True,2002,3568.0,22,1669213363
6880931503,True,954,2501.0,22,1669213360
6880931318,False,1816,3634.0,22,1669213353
6880931300,True,1398,,22,1669213358
6880931110,False,1790,2265.0,22,1669213349
6880931004,True,1817,3513.0,22,1669213350
6880930401,True,1902,,22,1669213324
6880930219,False,1594,1886.0,22,1669213316
6880930112,True,1880,3394.0,3,1669213320
6880967608,False,551,4058.0,22,1669214471
6880961402,True,553,2573.0,22,1669214285
6880960112,True,940,,22,1669214245
6880958106,True,1078,2833.0,22,1669214180
6880955508,True,786,5890.0,22,1669214102
6880954810,False,1184,,22,1669214079
6880953401,True,1348,3137.0,22,1669214020
6880953201,False,660,3944.0,22,1669214030
6880952511,True,665,3262.0,22,1669213996
6880951619,True,936,,22,1669213981
6880950609,True,1322,1834.0,22,1669213952
6880950413,True,1318,1842.0,22,1669213936
6880950305,False,1121,805.0,22,1669213941
6880949605,True,1421,4373.0,22,1669213916
6880949502,True,960,,22,1669213914
6880949004,True,1457,1836.0,22,1669213900
6880948102,True,1373,3212.0,22,1669213874
6880947619,True,1306,2725.0,22,1669213855
6880947610,True,1327,959.0,4,1669213851
6880947513,True,1357,1948.0,22,1669213854
6880947406,False,1528,,22,1669213814
6880945802,True,1652,,22,1669213804
6880945518,False,1551,3180.0,22,1669213776
6880945517,False,1641,2374.0,22,1669213767
6880945011,False,1616,2613.0,22,1669213760
6880944710,True,966,,22,1669213765
6880944500,True,1275,,22,1669213759
6880944202,True,1490,,4,1669213750
6880943106,True,1249,3167.0,22,1669213719
6880943009,True,1664,,22,1669213701
6880942906,False,1146,3810.0,22,1669213716
6880942903,True,1115,1803.0,22,1669213715
6880942716,True,1678,,22,1669213710
6880942307,False,1599,3495.0,22,1669213689
6880941504,True,1714,2981.0,22,1669213670
6880940815,False,1210,2729.0,22,1669213649
6880940811,False,1501,,22,1669213645
6880940710,False,1747,2867.0,22,1669213644
6880940415,False,1633,2784.0,4,1669213620
6880939414,False,1797,2266.0,22,1669213605
6880939412,False,1242,3682.0,22,1669213604
6880939410,False,1788,1655.0,4,1669213605
6880939218,False,1696,,22,1669213590
6880939000,True,1748,3334.0,4,1669213594
6880938914,False,1827,3544.0,22,1669213591
6880938910,True,560,3677.0,22,1669213588
6880938901,True,1687,,22,1669213589
6880938806,False,1183,3082.0,22,1669213584
6880938700,False,1611,1389.0,22,1669213568
6880938516,False,1402,,22,1669213573
6880938414,False,1355,,4,1669213555
6880938015,False,1742,4226.0,22,1669213549
6880937711,True,1725,,22,1669213556
6880937709,True,1904,3449.0,3,1669213555
6880937618,True,1754,2239.0,22,1669213551
6880937414,True,1714,,22,1669213544
6880937412,True,1360,,22,1669213544
6880937401,True,1780,,22,1669213506
6880937315,False,1365,,22,1669213536
6880936918,True,1859,3918.0,22,1669213529
6880936906,False,1642,3462.0,22,1669213524
6880936609,True,1886,,5,1669213519
6880936605,True,947,4031.0,3,1669213519
6880936511,True,1636,3746.0,22,1669213505
6880936505,False,1866,,22,1669213514
6880936402,False,1846,1183.0,22,1669213514
6880936017,False,1685,,22,1669213499
6880936009,True,1718,,4,1669213479
6880935900,True,1604,3010.0,22,1669213499
6880935419,False,1611,,22,1669213485
6880935311,True,1803,3937.0,22,1669213475
6880935117,False,687,5223.0,22,1669213461
6880935000,False,1517,,22,1669213471
6880934913,True,1890,1963.0,22,1669213460
6880934717,True,1906,3179.0,22,1669213463
6880934716,False,1796,3339.0,22,1669213463
6880934313,False,1919,3807.0,3,1669213448
6880934304,True,1732,3281.0,22,1669213431
6880934215,False,710,,4,1669213448
6880934202,False,1859,4143.0,4,1669213421
6880933811,True,769,,22,1669213429
6880933702,False,1970,,22,1669213428
6880933519,True,1650,3294.0,22,1669213418
6880933500,True,1664,3341.0,22,1669213426
6880933408,True,1653,,22,1669213423
6880933404,False,1921,,22,1669213420
6880933403,True,2025,,22,1669213409
6880933316,False,1371,3131.0,3,1669213421
6880933310,False,2014,3646.0,22,1669213420
6880933308,False,817,,22,1669213419
6880933214,False,1875,3543.0,22,1669213418
6880933205,True,1823,3191.0,22,1669213404
6880933001,False,1975,,22,1669213411
6880932916,False,1946,3918.0,22,1669213383
6880932812,False,1424,,4,1669213399
6880932806,False,744,,22,1669213401
6880932712,True,1874,,22,1669213400
6880932704,False,1380,,22,1669213394
6880932702,True,1350,3270.0,22,1669213390
6880932601,False,1881,1524.0,4,1669213368
6880974509,True,788,853.0,22,1669214693
6880967608,False,551,4058.0,22,1669214471
6880964906,True,1110,3548.0,3,1669214387
6880963712,True,1086,,22,1669214339
6880961402,True,553,2573.0,22,1669214285
6880960112,True,940,,22,1669214245
6880958106,True,1078,2833.0,22,1669214180
6880955508,True,786,5890.0,22,1669214102
6880954810,False,1184,,22,1669214079
6880953401,True,1348,3137.0,22,1669214020
6880953201,False,660,3944.0,22,1669214030
6880952511,True,665,3262.0,22,1669213996
6880951619,True,936,,22,1669213981
6880950609,True,1322,1834.0,22,1669213952
6880950413,True,1318,1842.0,22,1669213936
6880950305,False,1121,805.0,22,1669213941
6880949605,True,1421,4373.0,22,1669213916
6880949502,True,960,,22,1669213914
6880949004,True,1457,1836.0,22,1669213900
6880948904,False,1576,3887.0,22,1669213896
6880948102,True,1373,3212.0,22,1669213874
6880947619,True,1306,2725.0,22,1669213855
6880947613,True,1629,3602.0,22,1669213854
6880947610,True,1327,959.0,4,1669213851
6880947513,True,1357,1948.0,22,1669213854
6880947406,False,1528,,22,1669213814
6880945802,True,1652,,22,1669213804
6880945518,False,1551,3180.0,22,1669213776
6880945517,False,1641,2374.0,22,1669213767
6880945011,False,1616,2613.0,22,1669213760
6880944710,True,966,,22,1669213765
6880944500,True,1275,,22,1669213759
6880944202,True,1490,,4,1669213750
6880943106,True,1249,3167.0,22,1669213719
6880943009,True,1664,,22,1669213701
6880942906,False,1146,3810.0,22,1669213716
6880942903,True,1115,1803.0,22,1669213715
6880942716,True,1678,,22,1669213710
6880942307,False,1599,3495.0,22,1669213689
6880941504,True,1714,2981.0,22,1669213670
6880941315,True,1810,3738.0,22,1669213659
6880940903,True,1879,,22,1669213649
6880940815,False,1210,2729.0,22,1669213649
6880940811,False,1501,,22,1669213645
6880940710,False,1747,2867.0,22,1669213644
6880940415,False,1633,2784.0,4,1669213620
6880940209,False,1851,4197.0,3,1669213616
6880940009,True,1829,506.0,22,1669213613
6880939912,True,1875,,22,1669213621
6880939414,False,1797,2266.0,22,1669213605
6880939412,False,1242,3682.0,22,1669213604
6880939410,False,1788,1655.0,4,1669213605
6880939218,False,1696,,22,1669213590
6880939202,True,1861,2579.0,22,1669213600
6880939000,True,1748,3334.0,4,1669213594
6880938914,False,1827,3544.0,22,1669213591
6880938910,True,560,3677.0,22,1669213588
6880938901,True,1687,,22,1669213589
6880938806,False,1183,3082.0,22,1669213584
6880938700,False,1611,1389.0,22,1669213568
6880938617,True,1919,2410.0,22,1669213581
6880938612,True,1903,,22,1669213575
6880938610,False,1894,2062.0,22,1669213574
6880938516,False,1402,,22,1669213573
6880938414,False,1355,,4,1669213555
6880938019,False,1943,3989.0,22,1669213556
6880938015,False,1742,4226.0,22,1669213549
6880938001,False,1953,,22,1669213566
6880937904,False,1908,4337.0,22,1669213559
6880937711,True,1725,,22,1669213556
6880937709,True,1904,3449.0,3,1669213555
6880937618,True,1754,2239.0,22,1669213551
6880937612,False,1877,5297.0,22,1669213544
6880937414,True,1714,,22,1669213544
6880937412,True,1360,,22,1669213544
6880937401,True,1780,,22,1669213506
6880937315,False,1365,,22,1669213536
6880937208,True,1948,465.0,22,1669213539
6880936918,True,1859,3918.0,22,1669213529
6880936906,False,1642,3462.0,22,1669213524
6880936718,True,1976,2191.0,3,1669213509
6880936609,True,1886,,5,1669213519
6880936605,True,947,4031.0,3,1669213519
6880936511,True,1636,3746.0,22,1669213505
6880936510,True,1896,3292.0,22,1669213516
6880936505,False,1866,,22,1669213514
6880936402,False,1846,1183.0,22,1669213514
6880936119,True,1987,3120.0,22,1669213494
6880936017,False,1685,,22,1669213499
6880936009,True,1718,,4,1669213479
6880935900,True,1604,3010.0,22,1669213499
6880935419,False,1611,,22,1669213485
6880935407,True,1926,3455.0,22,1669213475
6880935311,True,1803,3937.0,22,1669213475
6880935117,False,687,5223.0,22,1669213461
6880935000,False,1517,,22,1669213471
6880934913,True,1890,1963.0,22,1669213460
6880934717,True,1906,3179.0,22,1669213463
6880934716,False,1796,3339.0,22,1669213463
6880934313,False,1919,3807.0,3,1669213448
6880974509,True,788,853.0,22,1669214693
6880967608,False,551,4058.0,22,1669214471
6880964906,True,1110,3548.0,3,1669214387
6880963712,True,1086,,22,1669214339
6880961402,True,553,2573.0,22,1669214285
6880960712,True,1280,3824.0,22,1669214243
6880960112,True,940,,22,1669214245
6880958106,True,1078,2833.0,22,1669214180
6880955508,True,786,5890.0,22,1669214102
6880954810,False,1184,,22,1669214079
6880954418,True,1506,1709.0,22,1669214065
6880953401,True,1348,3137.0,22,1669214020
6880953201,False,660,3944.0,22,1669214030
6880952511,True,665,3262.0,22,1669213996
6880951619,True,936,,22,1669213981
6880950609,True,1322,1834.0,22,1669213952
6880950413,True,1318,1842.0,22,1669213936
6880950305,False,1121,805.0,22,1669213941
6880950205,True,1577,3689.0,22,1669213940
6880949904,False,1636,,22,1669213930
6880949605,True,1421,4373.0,22,1669213916
6880949502,True,960,,22,1669213914
6880949004,True,1457,1836.0,22,1669213900
6880948904,False,1576,3887.0,22,1669213896
6880948209,True,1701,4025.0,22,1669213866
6880948102,True,1373,3212.0,22,1669213874
6880947711,False,1576,3326.0,22,1669213856
6880947709,True,1633,,22,1669213859
6880947619,True,1306,2725.0,22,1669213855
6880947613,True,1629,3602.0,22,1669213854
6880947610,True,1327,959.0,4,1669213851
6880947513,True,1357,1948.0,22,1669213854
6880947406,False,1528,,22,1669213814
6880945802,True,1652,,22,1669213804
6880945518,False,1551,3180.0,22,1669213776
6880945517,False,1641,2374.0,22,1669213767
6880945516,True,1778,1381.0,4,1669213774
6880945011,False,1616,2613.0,22,1669213760
6880944710,True,966,,22,1669213765
6880944500,True,1275,,22,1669213759
6880944202,True,1490,,4,1669213750
6880943708,True,1788,3734.0,22,1669213736
6880943106,True,1249,3167.0,22,1669213719
6880943009,True,1664,,22,1669213701
6880942906,False,1146,3810.0,22,1669213716
6880942903,True,1115,1803.0,22,1669213715
6880942901,True,1811,2709.0,22,1669213713
6880942716,True,1678,,22,1669213710
6880942714,True,1805,3633.0,22,1669213704
6880942307,False,1599,3495.0,22,1669213689
6880941504,True,1714,2981.0,22,1669213670
6880941315,True,1810,3738.0,22,1669213659
6880941109,False,1912,3654.0,22,1669213649
6880941012,False,1872,,22,1669213654
6880940903,True,1879,,22,1669213649
6880940815,False,1210,2729.0,22,1669213649
6880940811,False,1501,,22,1669213645
6880940710,False,1747,2867.0,22,1669213644
6880940415,False,1633,2784.0,4,1669213620
6880940209,False,1851,4197.0,3,1669213616
6880940009,True,1829,506.0,22,1669213613
6880939912,True,1875,,22,1669213621
6880939508,True,1939,,22,1669213610
6880939414,False,1797,2266.0,22,1669213605
6880939412,False,1242,3682.0,22,1669213604
6880939410,False,1788,1655.0,4,1669213605
6880939218,False,1696,,22,1669213590
6880939202,True,1861,2579.0,22,1669213600
6880939000,True,1748,3334.0,4,1669213594
6880938914,False,1827,3544.0,22,1669213591
6880938910,True,560,3677.0,22,1669213588
6880938901,True,1687,,22,1669213589
6880938806,False,1183,3082.0,22,1669213584
6880938700,False,1611,1389.0,22,1669213568
6880938617,True,1919,2410.0,22,1669213581
6880938612,True,1903,,22,1669213575
6880938610,False,1894,2062.0,22,1669213574
6880938516,False,1402,,22,1669213573
6880938414,False,1355,,4,1669213555
6880938308,False,1962,4054.0,3,1669213563
6880938019,False,1943,3989.0,22,1669213556
6880938015,False,1742,4226.0,22,1669213549
6880938001,False,1953,,22,1669213566
6880937904,False,1908,4337.0,22,1669213559
6880937711,True,1725,,22,1669213556
6880937709,True,1904,3449.0,3,1669213555
6880937618,True,1754,2239.0,22,1669213551
6880937612,False,1877,5297.0,22,1669213544
6880937414,True,1714,,22,1669213544
6880937412,True,1360,,22,1669213544
6880937401,True,1780,,22,1669213506
6880937315,False,1365,,22,1669213536
6880937208,True,1948,465.0,22,1669213539
6880936918,True,1859,3918.0,22,1669213529
6880936906,False,1642,3462.0,22,1669213524
6880936718,True,1976,2191.0,3,1669213509
6880936609,True,1886,,5,1669213519
6880936605,True,947,4031.0,3,1669213519
6880936511,True,1636,3746.0,22,1669213505
6880936510,True,1896,3292.0,22,1669213516
6880977009,True,659,4250.0,22,1669214771
6880974509,True,788,853.0,22,1669214693
6880967608,False,551,4058.0,22,1669214471
6880964906,True,1110,3548.0,3,1669214387
6880963712,True,1086,,22,1669214339
6880961402,True,553,2573.0,22,1669214285
6880960712,True,1280,3824.0,22,1669214243
6880960112,True,940,,22,1669214245
6880959718,True,1378,,4,1669214226
6880958106,True,1078,2833.0,22,1669214180
6880957218,False,1454,5020.0,22,1669214115
6880955508,True,786,5890.0,22,1669214102
6880954810,False,1184,,22,1669214079
6880954418,True,1506,1709.0,22,1669214065
6880953401,True,1348,3137.0,22,1669214020
6880953201,False,660,3944.0,22,1669214030
6880952511,True,665,3262.0,22,1669213996
6880951619,True,936,,22,1669213981
6880950609,True,1322,1834.0,22,1669213952
6880950413,True,1318,1842.0,22,1669213936
6880950305,False,1121,805.0,22,1669213941
6880950303,True,1682,,22,1669213941
6880950205,True,1577,3689.0,22,1669213940
6880949904,False,1636,,22,1669213930
6880949704,True,1716,2917.0,3,1669213915
6880949605,True,1421,4373.0,22,1669213916
6880949502,True,960,,22,1669213914
6880949004,True,1457,1836.0,22,1669213900
6880948904,False,1576,3887.0,22,1669213896
6880948209,True,1701,4025.0,22,1669213866
6880948102,True,1373,3212.0,22,1669213874
6880947711,False,1576,3326.0,22,1669213856
6880947709,True,1633,,22,1669213859
6880947619,True,1306,2725.0,22,1669213855
6880947613,True,1629,3602.0,22,1669213854
6880947610,True,1327,959.0,4,1669213851
6880947513,True,1357,1948.0,22,1669213854
6880947409,True,1762,3973.0,22,1669213839
6880947407,False,1740,3414.0,22,1669213825
6880947406,False,1528,,22,1669213814
6880945802,True,1652,,22,1669213804
6880945518,False,1551,3180.0,22,1669213776
6880945517,False,1641,2374.0,22,1669213767
6880945516,True,1778,1381.0,4,1669213774
6880945011,False,1616,2613.0,22,1669213760
6880944804,False,1835,2941.0,22,1669213769
6880944710,True,966,,22,1669213765
6880944500,True,1275,,22,1669213759
6880944202,True,1490,,4,1669213750
6880943708,True,1788,3734.0,22,1669213736
6880943106,True,1249,3167.0,22,1669213719
6880943009,True,1664,,22,1669213701
6880942906,False,1146,3810.0,22,1669213716
6880942903,True,1115,1803.0,22,1669213715
6880942901,True,1811,2709.0,22,1669213713
6880942716,True,1678,,22,1669213710
6880942714,True,1805,3633.0,22,1669213704
6880942705,True,1899,1851.0,22,1669213695
6880942614,True,1903,,22,1669213704
6880942416,True,1891,,22,1669213696
6880942307,False,1599,3495.0,22,1669213689
6880941504,True,1714,2981.0,22,1669213670
6880941500,True,1911,,22,1669213670
6880941315,True,1810,3738.0,22,1669213659
6880941117,False,1937,3341.0,3,1669213655
6880941109,False,1912,3654.0,22,1669213649
6880941012,False,1872,,22,1669213654
6880940904,False,1937,,22,1669213650
6880940903,True,1879,,22,1669213649
6880940815,False,1210,2729.0,22,1669213649
6880940811,False,1501,,22,1669213645
6880940710,False,1747,2867.0,22,1669213644
6880940415,False,1633,2784.0,4,1669213620
6880940315,False,1995,,22,1669213631
6880940209,False,1851,4197.0,3,1669213616
6880940009,True,1829,506.0,22,1669213613
6880939912,True,1875,,22,1669213621
6880939508,True,1939,,22,1669213610
6880939414,False,1797,2266.0,22,1669213605
6880939412,False,1242,3682.0,22,1669213604
6880939410,False,1788,1655.0,4,1669213605
6880939218,False,1696,,22,1669213590
6880939204,True,2046,1782.0,22,1669213601
6880939202,True,1861,2579.0,22,1669213600
6880939000,True,1748,3334.0,4,1669213594
6880938914,False,1827,3544.0,22,1669213591
6880938910,True,560,3677.0,22,1669213588
6880938901,True,1687,,22,1669213589
6880938806,False,1183,3082.0,22,1669213584
6880938700,False,1611,1389.0,22,1669213568
6880938617,True,1919,2410.0,22,1669213581
6880938612,True,1903,,22,1669213575
6880938610,False,1894,2062.0,22,1669213574
6880938516,False,1402,,22,1669213573
6880938414,False,1355,,4,1669213555
6880938312,False,2010,3674.0,22,1669213569
6880938308,False,1962,4054.0,3,1669213563
6880938019,False,1943,3989.0,22,1669213556
6880938015,False,1742,4226.0,22,1669213549
6880938001,False,1953,,22,1669213566
6880977009,True,659,4250.0,22,1669214771
6880974509,True,788,853.0,22,1669214693
6880974213,False,1021,,22,1669214672
6880972110,True,1037,3405.0,22,1669214621
6880967608,False,551,4058.0,22,1669214471
6880966015,True,1181,4786.0,22,1669214407
6880964906,True,1110,3548.0,3,1669214387
6880963712,True,1086,,22,1669214339
6880961402,True,553,2573.0,22,1669214285
6880960712,True,1280,3824.0,22,1669214243
6880960112,True,940,,22,1669214245
6880959718,True,1378,,4,1669214226
6880959610,False,1360,,22,1669214220
6880958106,True,1078,2833.0,22,1669214180
6880957218,False,1454,5020.0,22,1669214115
6880955508,True,786,5890.0,22,1669214102
6880954810,False,1184,,22,1669214079
6880954418,True,1506,1709.0,22,1669214065
6880953404,True,1623,,22,1669214025
6880953401,True,1348,3137.0,22,1669214020
6880953201,False,660,3944.0,22,1669214030
6880952511,True,665,3262.0,22,1669213996
6880951619,True,936,,22,1669213981
6880951011,False,1690,,22,1669213945
6880950609,True,1322,1834.0,22,1669213952
6880950507,False,1721,4220.0,22,1669213936
6880950413,True,1318,1842.0,22,1669213936
6880950305,False,1121,805.0,22,1669213941
6880950303,True,1682,,22,1669213941
6880950205,True,1577,3689.0,22,1669213940
6880949904,False,1636,,22,1669213930
6880949711,True,1772,1452.0,22,1669213921
6880949704,True,1716,2917.0,3,1669213915
6880949605,True,1421,4373.0,22,1669213916
6880949502,True,960,,22,1669213914
6880949004,True,1457,1836.0,22,1669213900
6880948904,False,1576,3887.0,22,1669213896
6880948209,True,1701,4025.0,22,1669213866
6880948102,True,1373,3212.0,22,1669213874
6880947711,False,1576,3326.0,22,1669213856
6880947709,True,1633,,22,1669213859
6880947619,True,1306,2725.0,22,1669213855
6880947613,True,1629,3602.0,22,1669213854
6880947610,True,1327,959.0,4,1669213851
6880947513,True,1357,1948.0,22,1669213854
6880947409,True,1762,3973.0,22,1669213839
6880947407,False,1740,3414.0,22,1669213825
6880947406,False,1528,,22,1669213814
6880945802,True,1652,,22,1669213804
6880945518,False,1551,3180.0,22,1669213776
6880945517,False,1641,2374.0,22,1669213767
6880945516,True,1778,1381.0,4,1669213774
6880945201,False,1817,2781.0,22,1669213781
6880945011,False,1616,2613.0,22,1669213760
6880944804,False,1835,2941.0,22,1669213769
6880944710,True,966,,22,1669213765
6880944500,True,1275,,22,1669213759
6880944202,True,1490,,4,1669213750
6880943708,True,1788,3734.0,22,1669213736
6880943106,True,1249,3167.0,22,1669213719
6880943009,True,1664,,22,1669213701
6880942906,False,1146,3810.0,22,1669213716
6880942903,True,1115,1803.0,22,1669213715
6880942901,True,1811,2709.0,22,1669213713
6880942811,False,1959,3381.0,22,1669213709
6880942716,True,1678,,22,1669213710
6880942714,True,1805,3633.0,22,1669213704
6880942705,True,1899,1851.0,22,1669213695
6880942614,True,1903,,22,1669213704
6880942416,True,1891,,22,1669213696
6880942307,False,1599,3495.0,22,1669213689
6880941504,True,1714,2981.0,22,1669213670
6880941500,True,1911,,22,1669213670
6880941319,True,1974,3231.0,22,1669213659
6880941315,True,1810,3738.0,22,1669213659
6880941117,False,1937,3341.0,3,1669213655
6880941112,True,2015,2478.0,22,1669213651
6880941109,False,1912,3654.0,22,1669213649
6880941012,False,1872,,22,1669213654
6880940904,False,1937,,22,1669213650
6880940903,True,1879,,22,1669213649
6880940815,False,1210,2729.0,22,1669213649
